ID,start_date,start_time,mode,eval_id,fold,level,epochs,net,sampler,outfile,hostname,remark,Job_ID,Cluster,User/Group,State,Nodes,Cores_per_node,CPU_Utilized,CPU_Efficiency,Job_Wall-clock_time,Memory_Utilized,Memory_Efficiency,WARNING,end_date,end_time,elapsed_time,valid_loss,valid_mae,valid_mae_end5,train_loss,train_mae,train_mae_end5,amp,RandomVerticalFlip,RandomHorizontalFlip,RandomRotation,image_size,RandGaussianNoise,patients_per_level,data_shuffle,data_shuffle_seed,train_nb,valid_nb,train_index_head,valid_index_head,normalize_data,batch_size,loader_workers,loss_fun,lr,gpuname,gpu_mem_usage,gpu_util,valid_metrics_min,r_c,nb_test,test_loss,test_mae,test_mae_end5,test_nb,pretrained,data_dir,label_file
105.0,2021-03-15,20:21:33,train,,5.0,0.0,600.0,vgg19,True,slurmlogs/slurm-75953_0,node856,sampler True,75953.0,alice,jjia/afd_b,CANCELLED (exit code 0),1.0,6.0,03:40:13,16.64% of 22:03:24 core-walltime,03:40:34,75.09 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106.0,2021-03-15,23:53:44,train,,1.0,0.0,600.0,vgg19,True,slurmlogs/slurm-75963_0,node858,sampler True,75963.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-10:32:33,40.05% of 3-14:15:06 core-walltime,14:22:31,75.27 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107.0,2021-03-15,23:54:27,train,,2.0,0.0,600.0,vgg19,True,slurmlogs/slurm-75964_0,node851,sampler True,75964.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-10:14:33,40.05% of 3-13:30:36 core-walltime,14:15:06,75.28 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108.0,2021-03-16,00:00:54,train,,1.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-75965_0,node853,sampler True,75965.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-07:43:52,48.37% of 2-17:35:42 core-walltime,10:55:57,108.97 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109.0,2021-03-16,00:01:10,train,,2.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-75966_0,node853,sampler True,75966.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-07:33:27,47.76% of 2-18:04:36 core-walltime,11:00:46,108.96 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110.0,2021-03-16,00:01:24,train,,3.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-75967_0,node853,sampler True,75967.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-07:30:14,47.81% of 2-17:53:18 core-walltime,10:58:53,108.96 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111.0,2021-03-16,00:02:12,train,,4.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-75968_0,node856,sampler True,75968.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-07:34:00,48.24% of 2-17:25:48 core-walltime,10:54:18,108.96 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112.0,2021-03-16,00:02:15,train,,5.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-75969_0,node856,sampler True,75969.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,1-07:55:43,48.37% of 2-18:00:12 core-walltime,11:00:02,108.95 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113.0,2021-03-16,11:46:52,train,,5.0,0.0,600.0,resnext50_32x4d,True,slurmlogs/slurm-76022_0,node858,sampler True,76022.0,alice,jjia/afd_b,CANCELLED (exit code 0),1.0,6.0,00:00:15,2.53% of 00:09:54 core-walltime,00:01:39,904.52 MB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114.0,2021-03-16,12:04:52,train,,5.0,0.0,1.0,resnext50_32x4d,True,slurmlogs/slurm-76029_0,node856,sampler True,76029.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:00:53,16.36% of 00:05:24 core-walltime,00:00:54,4.38 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115.0,2021-03-16,12:13:50,train,,5.0,0.0,1.0,resnext50_32x4d,True,slurmlogs/slurm-76030_0,node856,sampler True,76030.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:00:49,17.01% of 00:04:48 core-walltime,00:00:48,7.68 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116.0,2021-03-16,12:18:20,train,,5.0,0.0,1.0,resnext50_32x4d,True,slurmlogs/slurm-76031_0,node856,sampler True,76031.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:03:41,33.48% of 00:11:00 core-walltime,00:01:50,108.54 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-16,12:20:02,0:01:42,335.97,15.0,14.95,860.09,22.16,22.17,True,0.5,0.5,20.0,512.0,0.1,681.0,True,42.0,2724.0,681.0,0_2_3_5_6_7_8_9_10_12_13_14_15_17_18_20_22_23_24_25_,1_4_11_16_19_21_34_35_36_38_46_50_64_75_89_90_95_98_103_114_,True,10.0,8.0,MSE,0.0001,GeForce RTX 2080 Ti,4694.0/11019.44 MB,39.8%,mae_end5,,,,,,,,,
117.0,2021-03-16,12:25:20,train,,5.0,0.0,1.0,resnext50_32x4d,True,slurmlogs/slurm-76032_0,node856,sampler True,76032.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:03:46,33.63% of 00:11:12 core-walltime,00:01:52,108.53 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-16,12:27:04,0:01:44,291.91,13.17,13.17,802.89,21.37,21.34,True,0.5,0.5,20.0,512.0,0.1,681.0,True,42.0,2724.0,681.0,0_2_3_5_6_7_8_9_10_12_13_14_15_17_18_20_22_23_24_25_,1_4_11_16_19_21_34_35_36_38_46_50_64_75_89_90_95_98_103_114_,True,10.0,8.0,MSE,0.0001,GeForce RTX 2080 Ti,4694.0/11019.44 MB,35.4%,mae_end5,,,,,,,,,
118.0,2021-03-16,12:31:20,train,,5.0,0.0,1.0,resnext50_32x4d,True,slurmlogs/slurm-76033_0,node856,sampler True,76033.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:03:46,33.63% of 00:11:12 core-walltime,00:01:52,108.53 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-16,12:33:04,0:01:44,299.28,14.07,13.98,839.54,21.79,21.74,True,0.5,0.5,20.0,512.0,0.1,681.0,True,42.0,2724.0,681.0,0_2_3_5_6_7_8_9_10_12_13_14_15_17_18_20_22_23_24_25_,1_4_11_16_19_21_34_35_36_38_46_50_64_75_89_90_95_98_103_114_,True,10.0,12.0,MSE,0.0001,GeForce RTX 2080 Ti,4694.0/11019.44 MB,48.2%,mae_end5,,,,,,,,,
119.0,2021-03-16,23:36:18,train,,5.0,0.0,1.0,resnext50_32x4d,True,slurmlogs/slurm-76197_0,node856,sampler True,76197.0,alice,jjia/afd_b,COMPLETED (exit code 0),1.0,6.0,00:03:41,33.18% of 00:11:06 core-walltime,00:01:51,158.46 GB,0.00% of 0.00 MB,Efficiency statistics may be misleading for RUNNING jobs.,2021-03-16,23:37:55,0:01:37,1242.26,32.14,32.13,784.39,21.03,21.04,True,0.5,0.5,20.0,512.0,0.1,681.0,True,42.0,2724.0,681.0,0_2_3_5_6_7_8_9_10_12_13_14_15_17_18_20_22_23_24_25_,1_4_11_16_19_21_34_35_36_38_46_50_64_75_89_90_95_98_103_114_,True,10.0,18.0,MSE,0.0001,GeForce RTX 2080 Ti,4694.0/11019.44 MB,31.2%,mae_end5,,,,,,,,,
